objective_id,mnemonic,objective_description,active
1,ds5001,Understand and use language models such as bag of words,True
2,ds5001,Understand and use vector space models,True
3,ds5001,Understand how to measure similarity between documents,True
4,ds5001,Understand how Principal Component Analysis (PCA) works,True
5,ds5001,Understand and use topic models such as Latent Dirichlet Allocation (LDA),True
6,ds5001,Understand and use word embedding such as glove and word2vec,True
7,ds5001,Understand and use sentiment analysis such as VADER,True
8,ds5001,Understand and use Naive Bayes classification,True
9,cs5012,Have a working knowledge of parallel computing and apply this knowledge for improved computing efficiency,True
10,cs5012,"Select, Computationally Assess, and Deploy appropriate and efficient data structures and algorithms to solve Data Science problems",True
11,cs5012,"Define and Use Logic, Data Structures, and Algorithms to Solve Problems ",True
12,cs5012,"Connect, Transform, and Reduce Real-World Problems to Classical Problem Frameworks to make use of existing, efficient algorithmic solutions",True
13,cs5012,Independently Explore advanced or supplementary topics to attain a deeper and complimentary understanding of topics,True
14,cs5012,"Reflect on peer-feedback, instructor-feedback, experiences, and lessons-learned related to the use of data structures and algorithms to make continual improvements and updates to methodologies applied ",True
15,cs5012,Have a working knowledge of the Algorithm Complexity Class Hierarchy in order to gain perspective of the scope of the field and its contextual application to Data Science ,True
16,cs5012,Design and understand regular expressions for pattern matching,True
17,cs5012,Understand the important considerations for proper database design,True
18,ds5100,Basic Dataframe operations (Python and R),True
19,ds5100,Clone a repo on GitHub,True
20,ds5100,Confidently work in an appropriate programming environment (IDE),True
21,ds5100,Confidently write a class and call its methods to simulate a scenario,True
22,ds5100,Confidently write and call functions in both Python and R,True
23,ds5100,Correctly pass parameters and retrieve function output(s),True
24,ds5100,"Data structures (e.g., sequences and collections: set, list, dict, tuple)",True
25,ds5100,Demonstrate how methods are inherited from base classes,True
26,ds5100,"Essential primitives (e.g., bool, int, float)",True
27,ds5100,Find and utilize resources including online documentation,True
28,ds5100,"I/O: at least three different formats, including csv, txt, JSON",True
29,ds5100,Identify and utilize primitive data types and data structures [Built in],True
30,ds5100,Import data into a Pandas Dataframe,True
31,ds5100,Incorporating some exception handling,True
32,ds5100,"NumPy, Pandas (essentials)",True
33,ds5100,Patch/debug broken code,True
34,ds5100,Patch/debug code using in-line testing and unit testing (advanced),True
35,ds5100,"Perform sensitivity analysis on functions (e.g., changing inputs and measuring impact on outputs)",True
36,ds5100,Perform simple mathematical calculations (Python and R),True
37,ds5100,R: Apply the Tidyverse Pipe operator to aggregate data,True
38,ds5100,"R: Apply the Tidyverse verbs, such as: select(), filter(), arrange(), mutate(), summarize()",True
39,ds5100,R: data types,True
40,ds5100,R: Demonstrate use of element-wise operations,True
41,ds5100,"R: essential built-in functions like head(), tail(), rbind(), table(), summary(), str()",True
42,ds5100,R: get started in RStudio and navigate around,True
43,ds5100,R: save code in an R script,True
44,ds5100,R: vectorization,True
45,ds5100,Read and Write to and from various data formats,True
46,ds5100,Read code on GitHub,True
47,ds5100,Select and apply an appropriate data structure based on the problem requirements,True
48,ds5100,Use a program API to utilize existing functions (e.g. assert statements.),True
49,ds5100,"Using program API to utilize existing functions (e.g. sorting, searching, assert statements, etc.)",True
