mnemonic,instructor_id,term
ds_tech_bootcamp,1,spring2021
stat6021,2,spring2021
ds5100,3,spring2021
cs5012,16,spring2021
ds6030,17,spring2021
ds5110,7,spring2021
ds5001,8,spring2021
ds6001,14,spring2021
ds6011,14,spring2021
ds6040,5,spring2021
ds6002,18,spring2021
ds6050,13,spring2021
ds6013,12,spring2021
ds6003,19,spring2021
ds6012,18,spring2021
sarc5400,20,spring2021
ds_tech_bootcamp,1,summer2021
stat6021,2,summer2021
ds5100,15,summer2021
cs5012,4,summer2021
ds6030,21,summer2021
ds5110,7,summer2021
ds5001,8,summer2021
ds6001,12,summer2021
ds6011,12,summer2021
ds6011,22,summer2021
ds6040,22,summer2021
ds6002,10,summer2021
ds6050,13,summer2021
ds6013,14,summer2021
ds6012,10,summer2021
ds6003,19,summer2021
ds_tech_bootcamp,1,fall2021
stat6021,2,fall2021
ds5100,3,fall2021
cs5012,4,fall2021
ds6030,5,fall2021
ds_biz_analytics,6,fall2021
ds5110,7,fall2021
ds5001,8,fall2021
ds6001,9,fall2021
ds6011,4,fall2021
ds6011,21,fall2021
ds6011,23,fall2021
ds6011,24,fall2021
ds6011,25,fall2021
ds6011,26,fall2021
ds6040,5,fall2021
ds6002,10,fall2021
ds6050,11,fall2021
ds6013,12,fall2021
ds6013,13,fall2021
