mnemonic,instructor_id,term
ds_tech_bootcamp,Pete Alonzi,spring2021
stat6021,Jeffrey Woo,spring2021
ds5100,Judy Fox,spring2021
cs5012,Panagiotis Apostolellis,spring2021
ds6030,Mike Porter,spring2021
ds5110,Adam Tashman,spring2021
ds5001,Sree Mallikarjun,spring2021
ds6001,Jon Kropko,spring2021
ds6011,Jon Kropko,spring2021
ds6040,Bill Basener,spring2021
ds6002,Luis Felipe Rosado Murillo,spring2021
ds6050,Rich Nguyen,spring2021
ds6013,Raf Alvarado,spring2021
ds6003,Jason Williamson,spring2021
ds6012,Luis Felipe Rosado Murillo,spring2021
sarc5400,Eric Field,spring2021
ds_tech_bootcamp,Pete Alonzi,summer2021
stat6021,Jeffrey Woo,summer2021
ds5100,Nada Basit,summer2021
cs5012,Jeremy Bolton,summer2021
ds6030,Peter Gedeck,summer2021
ds5110,Adam Tashman,summer2021
ds5001,Sree Mallikarjun,summer2021
ds6001,Raf Alvarado,summer2021
ds6011,Raf Alvarado & Teague Henry,summer2021
ds6040,Teague Henry,summer2021
ds6002,Renee Cummings,summer2021
ds6050,Rich Nguyen,summer2021
ds6013,Jon Kropko,summer2021
ds6012,Renee Cummings,summer2021
ds6003,Jason Williamson,summer2021
ds_tech_bootcamp,Pete Alonzi,fall2021
stat6021,Jeffrey Woo,fall2021
ds5100,Judy Fox,fall2021
cs5012,Jeremy Bolton,fall2021
ds6030,Bill Basener,fall2021
ds_biz_analytics,Marc Ruggiano,fall2021
ds5110,Adam Tashman,fall2021
ds5001,Sree Mallikarjun,fall2021
ds6001,Eric Tassone,fall2021
ds6011,"Jeremy Bolton, Peter Gedeck, Eric Tassone, Abbas Kazemipour, Cait Dreisbach, Lei Xie",fall2021
ds6040,Bill Basener,fall2021
ds6002,Renee Cummings,fall2021
ds6050,Stephen Baek,fall2021
ds6013,Raf Alvarado & Teague Henry,fall2021
